| №  | Command нэр                  | Үүрэг                                                                      | SQL Table ашиглах                                | Хэрэглэгчийн түвшин   |
| -- | ---------------------------- | -------------------------------------------------------------------------- | ------------------------------------------------ | --------------------- |
| 1  | `/start_match`               | Session эхлүүлнэ, багийн тоо болон тоглогчийн тоог тохируулна              | `session_state`                                  | Admin эсвэл Эхлүүлэгч |
| 2  | `/addme`                     | Тоглогч өөрийгөө бүртгүүлнэ                                                | `session_state`                                  | Бүгд                  |
| 3  | `/remove`                    | Тоглогч бүртгэлээ цуцална                                                  | `session_state`                                  | Бүгд                  |
| 4  | `/remove_user`               | Админ тоглогчийг бүртгэлээс хасна                                          | `session_state`                                  | Admin                 |
| 5  | `/go_bot`                    | Snake vs Greedy хуваарилалт → онооны зөрүү хамгийн бага хувилбарыг сонгоно | `scores`, `session_state`, `matches`             | Admin эсвэл Эхлүүлэгч |
| 6  | `/go_gpt`                    | GPT API ашиглаж тэнцвэртэй баг хуваарилна                                  | `scores`, `session_state`, `matches`             | Admin эсвэл Эхлүүлэгч |
| 7  | `/set_match`                 | Админ гараар баг бүрдүүлнэ                                                 | `session_state`, `matches`                       | Admin                 |
| 8  | `/clear_match`               | Session болон багийн бүртгэлийг бүрэн цэвэрлэнэ                            | `session_state`                                  | Admin                 |
| 9  | `/set_match_result`          | +1/-1 оноо, tier update хийнэ                                              | `scores`, `score_log`, `player_stats`, `matches` | Admin эсвэл Эхлүүлэгч |
| 10 | `/set_match_result_fountain` | +2/-2 оноо, tier update хийнэ                                              | `scores`, `score_log`, `player_stats`, `matches` | Admin эсвэл Эхлүүлэгч |
| 11 | `/undo_last_match`           | Сүүлчийн match-г буцааж оноо/түгшин restore хийнэ                          | `scores`, `score_log`, `player_stats`, `matches` | Admin эсвэл Эхлүүлэгч |
| 12 | `/my_score`                  | Өөрийн оноо болон tier-г харуулна                                          | `scores`                                         | Бүгд                  |
| 13 | `/user_score`                | Хэн нэг тоглогчийн оноо болон tier-г харуулна                              | `scores`                                         | Бүгд                  |
| 14 | `/player_stats`              | Тоглогчийн win/loss статистик                                              | `player_stats`                                   | Бүгд                  |
| 15 | `/set_tier`                  | Tier болон score-г гараар тохируулна                                       | `scores`                                         | Admin                 |
| 16 | `/add_score`                 | Нэг эсвэл олон тоглогчид оноо нэмэх/хасах                                  | `scores`, `score_log`                            | Admin                 |
| 17 | `/add_donator`               | Donator болгож бүртгэнэ                                                    | `donators`                                       | Admin                 |
| 18 | `/donator_list`              | Donator хэрэглэгчдийн жагсаалтыг харуулна                                  | `donators`, `shields`                            | Бүгд                  |
| 19 | `/match_history`             | Сүүлийн 5 match-ийн log харуулна                                           | `matches`                                        | Бүгд                  |
| 20 | `/backup_now`                | JSON файл GitHub-д commit хийнэ (хуучин систем)                            | `data/*.json`                                    | Admin                 |
| 21 | `/help_info`                 | `readme.md` танилцуулгыг харуулна                                          | `Info/Readme.md`                                 | Бүгд                  |
| 22 | `/help_commands`             | Command жагсаалтыг харуулна                                                | `Info/Commands_alt.md`                           | Бүгд                  |
| 23 | `/whois`                     | Mention хийсэн хэрэглэгчийн Discord ID-г харуулна                          | -                                                | Бүгд                  |
| 24 | `/debug_id`                  | Таны Discord ID-г харуулна                                                 | -                                                | Бүгд                  |
| 25 | `/resync`                    | Slash командуудыг дахин сервертэй sync хийнэ                               | -                                                | Admin                 |
| 26 | `/leaderboard`               | Tier, оноо, ялалт/ялагдал, winrate харуулна (топ 10)                       | `scores`, `player_stats`                         | Бүгд                  |
| 27 | `/current_match`             | Session доторх багууд болон бүртгэгдсэн тоглогчдыг харуулна                | `session_state`                                  | Бүгд                  |
| 28 | `/player_stats_users`        | Нэг эсвэл хэд хэдэн тоглогчийн win/loss, winrate статистик харуулна        | `player_stats`                                   | Admin                 |
